loan_amnt,term,int_rate,installment,grade,sub_grade,emp_title,emp_length,home_ownership,annual_inc,verification_status,dti,delinq_2yrs,fico_score,inq_last_6mths,open_acc,pub_rec,revol_bal,revol_util,total_acc,mort_acc,pub_rec_bankruptcies,purpose,addr_state,loan_status
11200, 36 months,12.41,374.2,B,B3,Driver,9 years,OWN,86092,Source Verified,21.11,0,648,2,10,0,11619,52.6,20,3,0,debt_consolidation,AZ,Default
8634, 36 months,6.21,263.49,B,B1,Manager,7 years,MORTGAGE,66249,Source Verified,8.69,5,600,0,13,0,7634,33.9,18,1,0,home_improvement,PA,Charged Off
24192, 36 months,15.83,848.49,F,F2,Analyst,< 1 year,MORTGAGE,26663,Not Verified,7.53,1,756,0,5,0,22606,84.3,16,0,0,debt_consolidation,NY,Current
27029, 36 months,22.7,1042.06,C,C4,Developer,1 year,RENT,51052,Source Verified,28.71,0,755,0,9,0,7610,18.0,23,0,0,credit_card,IL,Current
9613, 60 months,9.76,203.11,C,C2,Manager,8 years,MORTGAGE,47802,Verified,11.01,3,783,5,9,0,12699,74.9,21,0,0,debt_consolidation,NC,Charged Off
17797, 36 months,19.31,655.16,B,B2,Manager,4 years,MORTGAGE,98616,Not Verified,19.87,1,713,2,6,0,6759,42.6,15,1,0,debt_consolidation,NY,Charged Off
9086, 60 months,14.4,213.3,B,B2,Manager,< 1 year,MORTGAGE,36632,Verified,5.69,4,704,1,18,0,18557,84.1,13,3,1,credit_card,IL,Fully Paid
10991, 36 months,15.43,383.33,C,C2,Sales,7 years,RENT,75893,Source Verified,8.97,0,762,2,12,0,2457,25.0,17,2,1,credit_card,NC,Fully Paid
6204, 36 months,8.44,195.67,C,C5,Developer,3 years,OWN,33630,Verified,28.31,0,764,1,11,0,63425,43.8,28,4,0,debt_consolidation,NC,Fully Paid
5069, 60 months,13.39,116.35,E,E4,Sales,7 years,OWN,123960,Verified,28.17,0,656,4,5,0,28071,56.5,20,0,0,credit_card,CA,Current
10295, 36 months,17.72,370.74,E,E5,Analyst,2 years,MORTGAGE,56883,Verified,14.28,0,656,4,12,0,5107,43.4,23,0,0,medical,NJ,Fully Paid
18843, 36 months,9.08,599.9,B,B3,Developer,2 years,MORTGAGE,149495,Verified,12.65,0,680,4,12,0,4009,42.7,18,4,0,debt_consolidation,AZ,Fully Paid
19738, 60 months,11.75,436.57,C,C5,Engineer,< 1 year,MORTGAGE,100912,Source Verified,34.8,0,660,1,7,0,2789,67.2,23,1,0,home_improvement,MI,Fully Paid
6694, 36 months,23.0,259.12,B,B4,Analyst,2 years,MORTGAGE,69429,Not Verified,30.67,0,692,0,4,0,3736,67.1,20,1,0,home_improvement,CA,Fully Paid
21478, 60 months,16.84,531.94,A,A3,Developer,6 years,MORTGAGE,61426,Source Verified,17.17,0,714,1,7,0,7771,80.4,30,5,0,home_improvement,IL,Fully Paid
22275, 36 months,12.95,750.0,B,B2,Developer,8 years,RENT,46474,Source Verified,14.84,3,730,0,18,0,3886,79.8,18,1,0,debt_consolidation,NY,Fully Paid
8689, 60 months,5.96,167.82,C,C3,Driver,7 years,OTHER,62991,Not Verified,24.05,0,676,3,14,0,2153,50.9,21,1,0,debt_consolidation,FL,Fully Paid
18043, 36 months,17.25,645.53,C,C1,Driver,1 year,OWN,65250,Verified,30.93,1,632,2,11,0,26010,61.7,22,2,0,debt_consolidation,TX,Current
14856, 36 months,7.97,465.33,G,G4,Other,5 years,MORTGAGE,50479,Verified,25.13,0,678,2,11,0,19455,54.2,25,0,0,major_purchase,MI,Fully Paid
8697, 36 months,19.65,321.66,D,D2,Teacher,8 years,MORTGAGE,29974,Source Verified,14.46,1,799,4,12,0,5278,44.5,21,1,0,home_improvement,IL,Fully Paid
10132, 60 months,11.14,221.0,B,B1,Developer,1 year,OTHER,73781,Source Verified,33.02,0,749,0,11,0,3267,66.8,25,2,0,other,WA,Current
31369, 36 months,22.09,1199.46,F,F5,Engineer,8 years,MORTGAGE,43545,Source Verified,12.52,0,774,1,10,0,10345,81.3,16,0,0,major_purchase,VA,Fully Paid
8705, 36 months,7.23,269.7,D,D3,Nurse,10+ years,MORTGAGE,39891,Verified,9.31,1,646,4,11,0,15673,87.2,27,5,0,credit_card,FL,Fully Paid
10912, 36 months,13.19,368.67,D,D4,Manager,4 years,MORTGAGE,54938,Verified,16.68,0,740,0,5,0,3184,77.6,24,0,0,debt_consolidation,PA,Fully Paid
11509, 60 months,19.03,298.74,C,C1,Teacher,8 years,MORTGAGE,117235,Verified,12.36,0,763,0,10,0,41368,85.8,23,5,0,credit_card,IL,Fully Paid
15239, 36 months,23.96,597.55,F,F3,Analyst,5 years,MORTGAGE,44016,Not Verified,17.67,0,747,0,9,0,43079,64.7,17,0,0,major_purchase,OH,Fully Paid
8000, 60 months,18.42,204.98,C,C2,Sales,9 years,MORTGAGE,92293,Not Verified,17.0,0,702,0,9,0,6858,87.5,27,4,0,credit_card,OH,Current
14022, 36 months,23.5,546.45,D,D5,Teacher,7 years,MORTGAGE,31280,Not Verified,31.67,2,724,1,8,0,7162,79.8,19,0,0,home_improvement,CA,Fully Paid
9414, 36 months,24.71,372.86,A,A4,Other,1 year,MORTGAGE,58598,Verified,5.97,4,750,1,6,0,7223,43.9,23,0,0,other,NY,Default
4014, 36 months,23.65,156.74,A,A1,Teacher,< 1 year,RENT,21771,Not Verified,10.34,5,664,1,8,0,1157,74.8,13,0,1,credit_card,PA,Current
31187, 60 months,11.36,683.69,F,F2,Nurse,6 years,MORTGAGE,60405,Not Verified,24.49,0,684,1,6,0,2067,25.9,21,5,0,small_business,IL,Late (31-120 days)
24998, 36 months,18.36,908.26,E,E4,Driver,6 years,MORTGAGE,129102,Verified,23.7,1,674,0,12,0,10348,47.5,25,3,0,debt_consolidation,AZ,Fully Paid
9436, 60 months,19.46,247.17,C,C1,Developer,3 years,MORTGAGE,43990,Verified,15.82,0,657,3,13,0,6586,17.4,23,0,0,debt_consolidation,PA,Fully Paid
10277, 36 months,7.36,319.02,D,D2,Nurse,3 years,MORTGAGE,105654,Verified,22.66,0,695,2,7,0,9616,58.1,19,0,0,credit_card,TX,Fully Paid
6210, 36 months,14.23,212.94,D,D5,Analyst,9 years,RENT,77386,Verified,26.83,0,675,2,8,0,9697,25.0,14,2,0,home_improvement,OH,Fully Paid
27194, 36 months,15.55,950.03,D,D5,Developer,< 1 year,OWN,81043,Source Verified,21.26,0,650,1,13,0,1911,39.2,22,2,0,debt_consolidation,GA,Current
10676, 36 months,14.69,368.47,C,C4,Engineer,5 years,RENT,74604,Not Verified,6.45,0,686,2,10,0,7688,14.2,25,2,0,debt_consolidation,PA,Fully Paid
7883, 36 months,24.77,312.47,B,B2,Driver,2 years,RENT,78352,Verified,25.65,0,691,0,7,0,3678,60.8,23,0,0,debt_consolidation,VA,Fully Paid
18961, 36 months,7.5,589.81,C,C2,Engineer,7 years,MORTGAGE,21138,Source Verified,26.48,3,687,0,7,0,2627,54.9,18,4,0,medical,CA,Charged Off
16484, 60 months,11.57,363.11,E,E3,Engineer,4 years,RENT,94959,Verified,5.94,0,653,1,11,0,18060,12.7,13,4,0,vacation,OH,Fully Paid
15492, 36 months,18.42,563.34,B,B1,Engineer,3 years,MORTGAGE,59492,Verified,28.91,0,675,2,15,0,13477,22.2,24,0,0,credit_card,PA,Fully Paid
10049, 36 months,24.27,395.68,C,C1,Other,8 years,RENT,52259,Source Verified,25.74,0,700,2,12,0,3267,18.7,17,0,0,small_business,CA,Current
12185, 36 months,23.54,475.11,D,D4,Sales,1 year,MORTGAGE,54106,Not Verified,23.74,3,669,0,9,0,12002,54.9,15,1,0,debt_consolidation,OH,Fully Paid
24829, 36 months,23.38,966.05,B,B4,Engineer,5 years,RENT,181669,Not Verified,18.14,0,786,5,9,1,10761,45.5,23,2,0,home_improvement,VA,Fully Paid
23324, 36 months,20.05,867.4,B,B1,Other,9 years,MORTGAGE,133702,Not Verified,6.97,0,687,1,4,0,31976,10.2,23,0,0,credit_card,NY,Current
9584, 36 months,17.21,342.7,D,D5,Sales,4 years,MORTGAGE,63750,Not Verified,7.53,0,651,3,10,0,3095,78.6,27,0,0,home_improvement,GA,Fully Paid
16280, 36 months,9.48,521.34,F,F1,Engineer,7 years,MORTGAGE,34751,Verified,12.69,0,699,0,21,0,8534,46.1,25,0,0,debt_consolidation,MA,Fully Paid
8475, 36 months,12.67,284.21,D,D3,Analyst,6 years,RENT,33555,Source Verified,11.62,0,714,2,12,0,3239,27.4,22,2,0,debt_consolidation,IL,Fully Paid
7941, 36 months,7.86,248.33,B,B3,Other,1 year,OWN,71309,Verified,23.48,0,653,1,2,3,25003,18.1,24,3,0,debt_consolidation,AZ,Fully Paid
12325, 36 months,18.17,446.63,E,E5,Other,7 years,RENT,53860,Not Verified,32.74,0,640,5,12,0,5695,59.5,29,0,0,credit_card,CA,Charged Off
4628, 60 months,8.62,95.22,B,B2,Teacher,7 years,MORTGAGE,169604,Source Verified,9.43,0,785,1,5,0,5214,81.4,20,0,2,debt_consolidation,CA,Current
21336, 60 months,6.59,418.36,F,F1,Developer,8 years,MORTGAGE,67712,Verified,15.67,0,703,1,13,0,1801,10.6,20,1,0,small_business,PA,Charged Off
14036, 60 months,8.49,287.9,C,C5,Developer,< 1 year,OTHER,108243,Source Verified,9.35,3,742,0,11,0,414,35.1,18,1,0,debt_consolidation,CA,Fully Paid
10826, 60 months,23.55,308.62,A,A3,Other,< 1 year,MORTGAGE,57974,Not Verified,8.94,2,624,0,7,0,11890,40.0,14,0,0,credit_card,WA,Fully Paid
12093, 60 months,20.0,320.39,B,B1,Analyst,5 years,OWN,155302,Not Verified,21.54,0,657,4,11,0,4839,79.0,18,3,0,debt_consolidation,FL,Charged Off
13517, 36 months,6.31,413.11,C,C2,Sales,3 years,MORTGAGE,46793,Verified,22.28,0,624,1,10,0,7506,76.4,28,0,0,debt_consolidation,IL,Default
22254, 60 months,6.58,436.26,F,F4,Sales,5 years,MORTGAGE,128722,Not Verified,18.65,4,685,2,17,0,14802,22.6,23,3,0,moving,GA,Current
25755, 36 months,23.43,1002.75,B,B1,Engineer,9 years,MORTGAGE,78375,Verified,16.71,0,714,0,11,0,5221,58.2,12,0,0,debt_consolidation,TX,Current
16929, 36 months,6.79,521.09,B,B3,Nurse,10+ years,OWN,36046,Source Verified,25.68,0,737,0,4,0,4928,31.8,22,3,0,debt_consolidation,FL,Current
33756, 60 months,23.7,965.22,C,C5,Other,6 years,MORTGAGE,30096,Not Verified,24.69,0,682,2,8,0,4665,42.2,12,5,0,debt_consolidation,TX,Late (31-120 days)
6384, 36 months,7.39,198.26,D,D2,Teacher,9 years,MORTGAGE,29260,Not Verified,31.63,0,737,2,12,1,35535,84.6,16,2,0,debt_consolidation,TX,Fully Paid
11267, 36 months,16.97,401.53,B,B4,Driver,4 years,RENT,123560,Verified,11.32,0,801,0,5,0,37400,28.2,17,4,0,credit_card,FL,Fully Paid
9940, 36 months,24.53,392.75,B,B3,Analyst,3 years,MORTGAGE,111579,Not Verified,22.32,0,667,0,9,0,29332,19.6,26,2,0,home_improvement,OH,Fully Paid
21019, 36 months,15.6,734.82,E,E3,Driver,1 year,OWN,76845,Source Verified,7.43,3,689,2,9,0,6245,50.6,24,3,0,moving,OH,Fully Paid
7079, 36 months,11.97,235.02,C,C2,Driver,7 years,MORTGAGE,26067,Verified,23.07,0,738,1,5,0,11427,77.9,23,0,0,car,CA,Current
3990, 60 months,15.48,95.93,E,E1,Analyst,2 years,RENT,59827,Verified,30.44,0,640,1,19,1,1825,79.8,24,0,0,debt_consolidation,MA,Current
10294, 36 months,23.88,403.21,B,B3,Driver,2 years,RENT,87511,Source Verified,26.99,0,704,0,11,0,22823,63.0,28,3,0,debt_consolidation,NJ,Current
40000, 36 months,19.82,1482.88,A,A3,Manager,7 years,MORTGAGE,68516,Verified,28.28,1,674,4,15,0,12517,64.8,15,3,0,wedding,PA,Fully Paid
7001, 36 months,23.66,273.42,C,C4,Analyst,8 years,MORTGAGE,51198,Not Verified,9.49,2,742,0,10,0,31516,14.8,19,0,0,debt_consolidation,TX,Fully Paid
25400, 36 months,20.99,956.82,A,A4,Analyst,5 years,RENT,32589,Not Verified,12.73,1,728,5,10,0,2035,86.2,19,0,0,debt_consolidation,TX,Fully Paid
15509, 60 months,6.79,305.56,G,G4,Analyst,< 1 year,RENT,74927,Source Verified,7.86,0,819,0,10,0,2727,18.7,21,3,0,debt_consolidation,PA,Current
13635, 36 months,15.7,477.35,E,E4,Driver,4 years,MORTGAGE,82451,Source Verified,8.78,4,674,2,7,0,9626,64.0,23,3,0,debt_consolidation,NY,Fully Paid
12792, 36 months,13.0,431.01,B,B4,Manager,8 years,MORTGAGE,41191,Not Verified,20.23,3,645,0,7,0,5184,41.3,23,0,0,home_improvement,TX,Fully Paid
29914, 60 months,19.67,787.06,F,F1,Other,9 years,RENT,57289,Source Verified,7.3,0,765,2,10,2,825,59.4,18,0,0,debt_consolidation,FL,Fully Paid
10004, 36 months,16.33,353.34,B,B1,Engineer,2 years,MORTGAGE,60515,Not Verified,19.56,1,791,0,10,0,1992,62.5,18,0,0,debt_consolidation,PA,Fully Paid
10152, 60 months,19.97,268.8,D,D2,Manager,4 years,RENT,88983,Source Verified,14.62,0,700,2,14,0,23717,39.8,29,2,0,credit_card,FL,Fully Paid
7407, 36 months,10.33,240.15,B,B1,Teacher,10+ years,MORTGAGE,78975,Verified,19.31,0,830,1,16,0,3649,21.9,22,0,0,small_business,TX,Fully Paid
10430, 36 months,13.27,352.79,B,B3,Nurse,8 years,MORTGAGE,63806,Verified,14.49,1,689,4,10,0,2601,26.7,21,2,0,moving,CA,Charged Off
11678, 36 months,12.79,392.3,A,A5,Driver,< 1 year,MORTGAGE,54715,Not Verified,7.9,0,703,1,5,0,12012,27.2,24,0,0,home_improvement,TX,Fully Paid
4019, 36 months,8.57,127.0,D,D4,Teacher,6 years,MORTGAGE,72225,Not Verified,33.95,2,680,5,14,0,4306,55.5,20,0,0,small_business,NY,Fully Paid
9217, 36 months,7.86,288.23,B,B2,Developer,9 years,MORTGAGE,42494,Verified,27.26,0,752,0,8,1,38440,44.3,22,1,1,home_improvement,WA,Fully Paid
10815, 36 months,7.32,335.52,A,A5,Driver,8 years,OWN,120416,Source Verified,12.57,0,711,0,7,0,10770,12.5,26,0,0,debt_consolidation,FL,Fully Paid
27702, 36 months,8.45,873.84,A,A1,Nurse,10+ years,MORTGAGE,97893,Verified,20.53,0,655,3,10,0,5125,70.3,13,0,0,medical,PA,Fully Paid
8091, 36 months,18.9,296.17,E,E1,Manager,< 1 year,OWN,59884,Source Verified,12.22,0,760,0,9,0,23814,30.3,24,0,0,debt_consolidation,IL,Current
13048, 36 months,20.57,488.71,C,C5,Nurse,3 years,RENT,64686,Source Verified,30.16,0,679,0,8,0,3945,75.8,14,0,0,debt_consolidation,PA,Fully Paid
6943, 36 months,19.62,256.68,E,E3,Analyst,9 years,RENT,51027,Verified,32.27,1,743,1,11,0,21430,17.9,19,0,0,debt_consolidation,FL,Current
13157, 36 months,16.48,465.69,B,B4,Teacher,3 years,MORTGAGE,53581,Not Verified,20.91,0,717,1,9,0,23026,41.8,19,5,0,debt_consolidation,MI,Fully Paid
9419, 36 months,8.55,297.55,A,A1,Nurse,9 years,OWN,73436,Verified,34.15,1,709,1,10,0,7561,66.7,18,1,0,car,CA,Fully Paid
14777, 36 months,21.15,557.86,C,C4,Manager,6 years,MORTGAGE,51427,Not Verified,20.48,0,636,1,14,0,3104,23.3,18,0,0,debt_consolidation,NY,Fully Paid
9238, 36 months,23.67,360.83,G,G1,Analyst,6 years,MORTGAGE,42574,Source Verified,15.97,2,658,1,7,0,4225,51.9,20,2,0,small_business,AZ,Fully Paid
11997, 36 months,14.75,414.41,B,B1,Nurse,6 years,MORTGAGE,18084,Not Verified,33.45,5,676,0,8,0,9777,40.3,22,0,0,car,TX,Charged Off
9919, 36 months,20.44,370.85,C,C4,Manager,8 years,MORTGAGE,55936,Not Verified,33.22,1,665,0,6,0,8302,65.2,22,1,0,major_purchase,PA,Fully Paid
25177, 36 months,6.94,776.7,C,C3,Analyst,5 years,RENT,43508,Source Verified,5.15,0,685,0,11,0,24872,31.4,19,0,0,moving,TX,Fully Paid
11671, 36 months,13.4,395.49,F,F2,Engineer,8 years,MORTGAGE,50366,Source Verified,27.78,0,725,0,8,0,6488,71.5,24,3,1,major_purchase,IL,Current
20412, 60 months,14.92,484.74,C,C2,Developer,5 years,RENT,66079,Source Verified,20.59,1,652,0,5,0,19207,79.2,16,1,0,debt_consolidation,TX,Default
18431, 36 months,7.17,570.53,B,B4,Manager,6 years,MORTGAGE,28605,Not Verified,31.2,0,636,0,10,0,9059,56.5,14,4,0,car,TX,Fully Paid
26063, 36 months,7.28,808.09,B,B5,Engineer,4 years,MORTGAGE,37589,Source Verified,10.64,0,720,1,11,3,2861,26.7,12,0,0,credit_card,NC,Fully Paid
17181, 36 months,15.26,597.77,F,F1,Driver,5 years,RENT,34449,Source Verified,32.78,2,721,0,9,0,2401,87.6,13,3,0,debt_consolidation,CA,Current
17085, 36 months,17.15,610.4,D,D3,Engineer,9 years,MORTGAGE,48705,Not Verified,32.59,0,600,1,9,0,9774,53.5,23,1,0,debt_consolidation,TX,Fully Paid
8079, 36 months,15.01,280.1,C,C3,Developer,5 years,RENT,63332,Source Verified,21.71,1,717,0,9,0,4148,36.3,12,4,0,major_purchase,NC,Default
13081, 36 months,13.57,444.35,E,E4,Developer,6 years,MORTGAGE,33190,Source Verified,21.96,0,676,0,10,1,10741,66.5,13,2,0,debt_consolidation,IL,Default
12201, 60 months,6.73,240.04,B,B2,Engineer,6 years,RENT,36952,Verified,33.15,0,725,1,5,0,12810,17.0,23,0,0,debt_consolidation,GA,Current
10990, 60 months,10.85,238.13,B,B3,Teacher,4 years,RENT,127946,Not Verified,18.0,0,709,0,9,0,3097,18.1,26,2,0,debt_consolidation,OH,Fully Paid
13704, 36 months,6.4,419.39,C,C2,Sales,7 years,RENT,53581,Not Verified,20.18,3,804,0,13,0,17240,28.9,15,5,0,credit_card,FL,Fully Paid
15562, 36 months,22.69,599.89,B,B3,Other,8 years,RENT,71470,Not Verified,19.64,0,728,1,7,3,18749,17.0,35,1,0,car,CA,Fully Paid
18700, 36 months,17.17,668.29,C,C5,Sales,1 year,RENT,64717,Not Verified,13.88,1,600,3,9,0,9443,30.2,25,0,0,credit_card,CA,Fully Paid
6429, 36 months,19.61,237.65,B,B2,Sales,2 years,OWN,107598,Not Verified,6.37,0,705,0,14,0,18127,68.8,17,0,0,home_improvement,CA,Current
8080, 60 months,9.98,171.6,D,D1,Manager,8 years,MORTGAGE,20508,Not Verified,14.23,0,725,0,9,0,51274,12.5,14,3,0,debt_consolidation,NY,Fully Paid
11525, 36 months,10.24,373.18,A,A2,Driver,7 years,MORTGAGE,56633,Not Verified,10.57,0,724,2,10,0,2113,86.3,26,0,0,medical,GA,Fully Paid
16649, 36 months,20.98,627.08,A,A4,Engineer,2 years,MORTGAGE,85102,Source Verified,27.21,0,708,0,7,0,3120,20.2,20,2,0,debt_consolidation,AZ,Current
32948, 36 months,12.01,1094.5,C,C2,Sales,1 year,MORTGAGE,102986,Verified,28.71,0,778,0,6,0,3894,77.9,18,3,0,debt_consolidation,TX,Current
21965, 36 months,24.42,866.6,E,E1,Sales,8 years,MORTGAGE,93905,Not Verified,23.06,0,709,1,11,0,3676,89.3,16,1,0,small_business,GA,Fully Paid
17749, 36 months,19.52,655.28,F,F5,Manager,2 years,RENT,48125,Verified,34.99,0,769,1,9,0,20520,73.9,31,0,0,debt_consolidation,NY,Fully Paid
9069, 36 months,10.58,295.11,B,B5,Analyst,5 years,RENT,67187,Verified,27.66,1,701,0,12,0,16761,14.7,16,0,0,major_purchase,AZ,Fully Paid
11569, 60 months,9.7,244.1,A,A3,Manager,1 year,MORTGAGE,70248,Source Verified,28.01,0,661,3,14,1,2160,35.3,19,0,1,debt_consolidation,NJ,Fully Paid
5960, 60 months,19.93,157.67,E,E5,Other,7 years,OWN,84885,Verified,17.49,0,682,0,12,0,3596,14.9,17,1,0,credit_card,TX,Current
10481, 36 months,22.16,401.14,A,A1,Driver,8 years,MORTGAGE,49230,Verified,27.04,0,703,1,16,0,10225,69.6,12,0,0,debt_consolidation,OH,Late (31-120 days)
11206, 36 months,5.24,337.06,D,D1,Nurse,1 year,OWN,77146,Source Verified,18.6,2,713,2,11,3,27837,26.0,17,2,0,debt_consolidation,MI,Fully Paid
12739, 36 months,11.33,419.05,C,C1,Developer,1 year,MORTGAGE,35001,Verified,10.42,0,625,0,13,0,11898,52.2,14,0,0,moving,NY,Fully Paid
12593, 36 months,5.58,380.71,E,E4,Driver,5 years,RENT,51855,Source Verified,9.14,0,718,0,10,0,17560,83.8,11,1,0,debt_consolidation,NC,Charged Off
15969, 36 months,10.05,515.65,E,E3,Driver,1 year,MORTGAGE,41544,Not Verified,27.55,0,622,1,10,0,19137,76.1,17,2,0,debt_consolidation,CA,Fully Paid
19204, 60 months,11.64,423.7,G,G2,Other,< 1 year,MORTGAGE,35422,Not Verified,12.69,0,673,3,11,0,2398,36.0,14,4,0,home_improvement,MI,Fully Paid
9872, 36 months,15.42,344.25,D,D1,Sales,2 years,RENT,48314,Verified,18.39,0,685,0,5,0,5536,51.6,21,2,0,home_improvement,VA,Fully Paid
5793, 36 months,5.67,175.37,E,E5,Driver,10+ years,RENT,33481,Not Verified,15.88,0,611,0,17,0,8367,26.1,22,2,0,debt_consolidation,CA,Fully Paid
8136, 36 months,12.31,271.44,E,E2,Analyst,7 years,RENT,42469,Not Verified,24.99,1,696,0,9,0,5302,82.6,23,0,0,home_improvement,NY,Charged Off
32146, 60 months,24.56,935.25,A,A1,Driver,7 years,RENT,51132,Not Verified,13.54,0,760,2,8,0,8421,62.5,16,1,0,credit_card,IL,Current
7946, 36 months,25.0,315.93,B,B1,Analyst,7 years,RENT,60606,Not Verified,14.99,0,643,0,9,0,16220,25.1,23,1,0,debt_consolidation,OH,Fully Paid
10758, 36 months,8.63,340.25,B,B3,Sales,10+ years,OWN,50356,Source Verified,33.23,0,733,0,14,0,9378,15.4,25,2,0,small_business,CA,Fully Paid
12185, 36 months,5.05,365.47,B,B3,Other,2 years,MORTGAGE,100984,Source Verified,22.89,0,638,2,5,0,3510,63.5,15,3,0,credit_card,TX,Current
13312, 60 months,18.42,341.09,A,A3,Driver,3 years,MORTGAGE,33067,Verified,12.52,0,701,4,6,0,12240,40.0,21,0,1,debt_consolidation,TX,Current
16729, 36 months,12.62,560.61,B,B3,Nurse,9 years,MORTGAGE,183407,Verified,22.28,0,653,3,12,0,4468,51.2,21,1,0,credit_card,MI,Fully Paid
21635, 36 months,16.16,762.33,D,D4,Sales,1 year,MORTGAGE,36417,Not Verified,27.84,1,700,3,8,0,56775,53.1,18,0,0,wedding,FL,Current
14417, 36 months,13.49,489.18,C,C5,Teacher,10+ years,RENT,59926,Source Verified,10.36,0,648,5,8,0,10796,71.4,19,4,0,debt_consolidation,OH,Current
7344, 36 months,8.87,233.09,B,B3,Nurse,7 years,MORTGAGE,53313,Source Verified,19.59,0,746,2,11,0,3756,21.8,30,4,0,wedding,GA,Current
19732, 36 months,21.8,751.53,C,C1,Driver,< 1 year,RENT,41156,Source Verified,11.54,5,686,2,8,0,2257,21.5,12,3,0,moving,TX,Fully Paid
8108, 60 months,7.37,161.97,C,C2,Manager,< 1 year,OTHER,40719,Source Verified,29.15,2,653,1,5,0,48631,83.8,21,1,0,home_improvement,FL,Fully Paid
8125, 60 months,23.87,233.13,D,D5,Nurse,10+ years,OTHER,123560,Not Verified,20.03,0,732,0,9,0,17676,26.9,21,3,0,debt_consolidation,CA,Fully Paid
9584, 36 months,5.24,288.27,E,E2,Nurse,9 years,MORTGAGE,104486,Not Verified,26.68,1,715,0,10,0,2940,76.0,17,1,0,car,TX,Current
22403, 36 months,12.38,748.17,E,E1,Driver,1 year,RENT,64195,Source Verified,32.01,0,733,0,12,0,10309,69.4,30,0,0,credit_card,NJ,Fully Paid
7801, 36 months,24.19,306.83,B,B5,Driver,10+ years,OWN,57407,Not Verified,24.64,0,690,2,9,1,2454,11.0,22,0,0,debt_consolidation,PA,Fully Paid
